FKRS,Kronberg Süd,Hp
FKTG,Kassel Tunnelgleis,Abzw
FKU,Kassel Unterstadt,Bf
FKW,Kassel-Wilhelmshöhe,Bf
FKW W,Kassel-Wilhelmshöhe West,Bft
FKWA,Kassel-Waldau,Abzw
FKWAI,Kassel-Waldau Industriestammgleis,Anst
FKWB,Külte-Wetterburg,Anst
FKWN,Kassel Nordwest,Abzw
FKWNA,Kassel Nordwest A,Bft
FKWNB,Kassel Nordwest B,Bft
FKWO,Klein Winternheim-Ober Olm,Hp
FKWS,Kassel-Wilhelmshöhe Süd,Bf
FKWW,Kassel-Wilhelmshöhe West (NE),Bf
FKY,Frankfurt am Main Kleyerstraße,Abzw
FKZ,Kerzell,Üst
FL,Limburg (Lahn),Bf
FLAB,Laubach (Oberhess),Bf
FLAE,Bebra Lämmerberg,Abzw
FLAH,Langenhahn,Bf
FLAN,Langenaubach,Anst
FLAS,Langstadt,Hp
FLAU,Lauterbach (Hess) Nord,Bf
FLB,Lorsbach,Bf
FLBF,Frankfurt (Main) Lokalbahnhof,Bf
FLBG,Laurenburg (Lahn),Bf
FLBR,Lelbach-Rhena,Tp
FLBRB,Lelbach B 251,Bush
FLCH,Laubach (Werra),Tp
FLD,Laudenbach(Kreis Witzenhausen),Tp
FLD,Laudenbach (Kr Witzenhausen) (ehe,Bf
FLDB,Liederbach,Bf
FLDF,Londorf,Bf
FLDS,Liederbach Süd,Hp
FLE,Lengfeld,Bf
FLEH,Lehnheim,Hp
FLF,Langsdorf (Oberhess),Hp
FLFD,Leimsfeld,Tp
FLFR,Liebfrauenkirche,Tp
FLG,Langen (Hess),Bf
FLGS,Lang Göns,Bf
FLH,Loshausen,Tp
FLH,Loshausen Knapp,Anst
FLHK,Lauterbach (Hess) Süd Stabernack,Anst
FLHN,Lindenholzhausen,Hp
FLHS,Lauterbach (Hess) Süd,Bf
FLI,Lich (Oberhess),Bf
FLIB,Liebenau (Bz Kassel),Hp
FLIE,Lieblos,Bf
FLIH,Lispenhausen,Hp
FLIN,Lindheim,Hp
FLIP,Lippoldshausen,Üst
FLIR,Licherode,Bf
FLIS,Limburg (Lahn) Süd Plng NBS,Bf
FLIX,Lixfeld,Tp
FLNG,Langenbieber,Bf
FLO,Lorsch,Bf
FLOE,Löhnberg,Bf
FLOH,Lohra,Hp Anst
FLOL,Lollar,Bf
